date,retweets,favorites,vader,finBERT,finBERT_min,finBERT_max,buzz,buzz_n,sent_wn,sent12,sent26,sent50,sent200,adjclose,volume,EMA12,EMA26,EMA50,EMA200
2019-09-12,1880,3943,0.08364444444444445,0.012106307296296304,-0.9109379999999999,0.8874040000000001,5823,-0.1904404110785639,0.9587968051620904,-0.06667602106269167,-0.08079900390989857,-0.08381455408529588,-0.07137923592131697,296.693115234375,72908700,291.6629969342774,289.6792181879781,288.57534947419003,280.60370920392756
2019-09-13,1144,2888,-0.043638571428571436,-0.17176746307142854,-0.9223370000000001,0.7423350000000001,4032,-0.34923205324419954,0.9728599432885183,-0.08284393521788197,-0.08753740829223412,-0.08726368777102658,-0.07237812375365639,296.4961853027344,62104800,292.40656437557845,290.18417871499713,288.88597048707413,280.76184329446295
2019-09-16,1228,2443,-0.021545454545454548,-0.05701920395454546,-0.86979,0.899209,3671,-0.3812386321508408,0.9642248719630475,-0.06549948297153511,-0.07706159489835222,-0.08144665496622758,-0.07127604273677572,295.58038330078125,58191200,292.8948442102251,290.58389757320333,289.14849647976854,280.9092914537298
2019-09-17,1625,3331,0.013879999999999984,-0.10394221164705884,-0.938154,0.8317610000000001,4956,-0.26730939698454165,0.965590003231844,-0.07141374892161569,-0.07905275169455271,-0.08232883365959352,-0.0716010792433457,296.3287658691406,41475500,293.42313985005825,291.0094433729024,289.43007567150863,281.0627190598533
2019-09-18,1718,3344,-0.0395041237113402,-0.13169092907216495,-0.946319,0.875539,5062,-0.25791134334436444,0.9669851714899301,-0.08068716125246941,-0.0829518759447462,-0.08426460210714534,-0.0721989881968663,296.50604248046875,73375800,293.8974325624291,291.4165988623518,289.7075645659777,281.2163839695112
2019-09-19,1594,3797,-0.08154,-0.1011507316842105,-0.943931,0.826032,5391,-0.22874191270645594,0.9645408214650595,-0.08383540285735265,-0.08429993933285468,-0.08492680326703025,-0.07248706524649162,296.486328125,76560500,294.29572418744,291.7921343632887,289.9733984310374,281.36832371235187
2019-09-20,1936,3256,-0.09945970149253729,-0.13216133328358207,-0.893832,0.860276,5192,-0.24638542850263767,0.9666686645451212,-0.09127016138446487,-0.08784522777364931,-0.08677913777748328,-0.07308083905780595,295.0854797363281,89565000,294.4172250411151,292.03608587240274,290.1738722077155,281.5048128270183
2019-09-23,4870,13381,0.02799861111111111,-0.09809251069444441,-0.944292,0.672786,18251,0.9114370477905146,0.9391331346823916,-0.07798129961098482,-0.08104776210603487,-0.08304586450812607,-0.07248350985473191,295.0162353515625,43476800,294.50938047349166,292.2568376856738,290.36376880159185,281.63925484218794
2019-09-24,2985,7341,0.018132911392405058,-0.16937610683544307,-0.948142,0.8633360000000001,10326,0.20879954686217161,0.9513331284900615,-0.0920420391839784,-0.0875906024563614,-0.08643136420723654,-0.07344761529732606,292.7012939453125,94869400,294.23121331531024,292.289760371573,290.45543645428677,281.74932488301505
2019-09-25,1520,3258,-0.0041797979797979865,-0.057039183818181835,-0.891911,0.925127,4778,-0.28309103422936754,0.9629627247798166,-0.08665698451231738,-0.08532753440908883,-0.08527872968217558,-0.07328434732240921,294.43255615234375,71854000,294.2621891363923,292.4484859849634,290.6114019326419,281.87552618917755
