,adjclose,EMA12
2018-12-10,256.1517028808594,261.47811737322814
2018-12-11,256.2098388671875,260.6676129876834
2018-12-12,257.5,260.1802879126552
2018-12-13,257.4126892089844,259.75450349670587
2018-12-14,252.6596221923828,258.66298329604075
2018-12-17,247.70286560058594,256.9768113428938
2018-12-18,247.43124389648438,255.50826250498469
2018-12-19,243.7257537841797,253.69556885563006
2018-12-20,239.75843811035156,251.55139489481797
2018-12-21,234.84588623046875,248.98131663876424
2018-12-24,228.64056396484375,245.8519700735457
2018-12-26,240.19259643554688,244.98129720616126
2018-12-27,242.0366668701172,244.52827715446216
2018-12-28,241.7244415283203,244.09691782736343
2018-12-31,243.84164428710938,244.05764497501664
2019-01-02,244.09532165527344,244.06344138736384
2019-01-03,238.27053833007812,243.1722255323968
2019-01-04,246.25155639648438,243.64596874225643
2019-01-07,248.19317626953125,244.34553913106794
2019-01-08,250.52503967285156,245.29623152211155
2019-01-09,251.6958770751953,246.28079237643212
2019-01-10,252.58372497558594,247.25047431476347
2019-01-11,252.6813201904297,248.08598906486594
2019-01-14,251.1397247314453,248.555794552032
2019-01-15,254.01800537109375,249.3961346780415
2019-01-16,254.6326446533203,250.20175159731517
2019-01-17,256.56451416015625,251.18063814544456
2019-01-18,259.9793701171875,252.5342892180204
2019-01-22,256.4669189453125,253.13930917606532
2019-01-23,257.0035705566406,253.73381092692307
2019-01-24,257.14013671875,254.2578610487426
2019-01-25,259.31591796875,255.03602365182067
2019-01-28,257.3450927734375,255.39126505514633
2019-01-29,257.0035705566406,255.63931205537622
2019-01-30,261.0721435546875,256.4751322860395
2019-01-31,263.364990234375,257.5351104319373
2019-02-01,263.4917907714844,258.45152279186766
2019-02-04,265.3456115722656,259.5121518350058
2019-02-05,266.4578552246094,260.5807215872525
2019-02-06,266.1065979003906,261.4308564046584
2019-02-07,263.5699157714844,261.7599424610932
2019-02-08,263.891845703125,262.08792757525197
2019-02-11,264.0382080078125,262.38797071872284
2019-02-12,267.43359375,263.1642204158424
2019-02-13,268.3018798828125,263.95462956460705
2019-02-14,267.7067565917969,264.5318798764824
2019-02-15,270.6240234375,265.4691327320236
2019-02-19,271.0923767089844,266.33424719001755
2019-02-20,271.63873291015625,267.15032191619275
2019-02-21,270.6728210449219,267.69224485907415
2019-02-22,272.3509826660156,268.40897375244975
2019-02-25,272.72174072265625,269.07247636325076
2019-02-26,272.526611328125,269.6038817424622
2019-02-27,272.4095764160156,270.03552707685503
2019-02-28,271.9021301269531,270.32269677687015
2019-03-01,273.599853515625,270.8268747366786
2019-03-04,272.60467529296875,271.10038251456933
2019-03-05,272.23388671875,271.274767776751
2019-03-06,270.5849914550781,271.1686483426475
2019-03-07,268.3214111328125,270.7306118488267
2019-03-08,267.78485107421875,270.2774178835024
2019-03-11,271.66802978515625,270.4913581760645
2019-03-12,272.69244384765625,270.82998674092477
2019-03-13,274.4974365234375,271.3942097843883
2019-03-14,274.32183837890625,271.84461418354493
2019-03-15,275.67718505859375,272.434240472014
2019-03-18,276.67669677734375,273.0869260574493
