,Benchmark (SPY),Sentimental SPY
2018-09-21 00:00:00+00:00,1.044014581,1.027528156
2018-09-24 00:00:00+00:00,1.040546327,1.024797206
2018-09-25 00:00:00+00:00,1.039580977,1.024323766
2018-09-26 00:00:00+00:00,1.036470296,1.022792566
2018-09-27 00:00:00+00:00,1.039366455,1.024218166
2018-09-28 00:00:00+00:00,1.039473716,1.024270966
2018-10-01 00:00:00+00:00,1.043085021,1.026043291
2018-10-02 00:00:00+00:00,1.042477135,1.025922736
2018-10-03 00:00:00+00:00,1.043049231,1.026036241
2018-10-04 00:00:00+00:00,1.034897061,1.024428841
2018-10-05 00:00:00+00:00,1.029104744,1.023286741
2018-10-08 00:00:00+00:00,1.029104744,1.023286741
2018-10-09 00:00:00+00:00,1.02760298,1.022989936
2018-10-10 00:00:00+00:00,0.995065772,1.016574436
2018-10-11 00:00:00+00:00,0.973147957,1.012253491
2018-10-12 00:00:00+00:00,0.986663399,1.014918391
2018-10-15 00:00:00+00:00,0.981121285,1.013824936
2018-10-16 00:00:00+00:00,1.002574375,1.018054936
2018-10-17 00:00:00+00:00,1.002753216,1.018090891
2018-10-18 00:00:00+00:00,0.988272315,1.015234936
2018-10-19 00:00:00+00:00,0.98773601,1.015129891
2018-10-22 00:00:00+00:00,0.983302406,1.014255691
2018-10-23 00:00:00+00:00,0.978296598,1.013267986
2018-10-24 00:00:00+00:00,0.948655657,1.007424241
2018-10-25 00:00:00+00:00,0.965675034,1.010779336
2018-10-26 00:00:00+00:00,0.948691338,1.007430586
2018-10-29 00:00:00+00:00,0.943435327,1.006394236
2018-10-30 00:00:00+00:00,0.957415604,1.009150786
2018-10-31 00:00:00+00:00,0.967641633,1.011167791
2018-11-01 00:00:00+00:00,0.977939134,1.013198191
2018-11-02 00:00:00+00:00,0.972146817,1.012056091
2018-11-05 00:00:00+00:00,0.977510089,1.013113591
2018-11-06 00:00:00+00:00,0.98369566,1.014332536
2018-11-07 00:00:00+00:00,1.004755496,1.018485691
2018-11-08 00:00:00+00:00,1.002931948,1.018126141
2018-11-09 00:00:00+00:00,0.993135072,1.016194441
2018-11-12 00:00:00+00:00,0.974578141,1.012535491
2018-11-13 00:00:00+00:00,0.972754593,1.012175236
2018-11-14 00:00:00+00:00,0.966104188,1.010864641
2018-11-15 00:00:00+00:00,0.976187057,1.012852036
2018-11-16 00:00:00+00:00,0.978725751,1.013353291
2018-11-19 00:00:00+00:00,0.9621711,1.010089141
2018-11-20 00:00:00+00:00,0.944364996,1.006577536
2018-11-21 00:00:00+00:00,0.947582937,1.007212036
2018-11-23 00:00:00+00:00,0.941254315,1.005964891
2018-11-26 00:00:00+00:00,0.956450254,1.008961141
2018-11-27 00:00:00+00:00,0.959668196,1.009594936
2018-11-28 00:00:00+00:00,0.981764852,1.013951836
2018-11-29 00:00:00+00:00,0.97961963,1.013529541
2018-11-30 00:00:00+00:00,0.985590679,1.014706186
2018-12-03 00:00:00+00:00,0.998641287,1.017279436
2018-12-04 00:00:00+00:00,0.96628292,1.010899891
2018-12-06 00:00:00+00:00,0.964816946,1.010610136
2018-12-07 00:00:00+00:00,0.942398506,1.006190491
2018-12-10 00:00:00+00:00,0.944186264,1.006536976
2018-12-11 00:00:00+00:00,0.944400786,1.006651456
2018-12-12 00:00:00+00:00,0.949156173,1.009187188
2018-12-13 00:00:00+00:00,0.94883439,1.009015468
2018-12-14 00:00:00+00:00,0.931314388,0.999668176
2018-12-17 00:00:00+00:00,0.913043504,0.989912596
2018-12-18 00:00:00+00:00,0.912042365,0.989697556
2018-12-19 00:00:00+00:00,0.898383871,0.986763028
2018-12-20 00:00:00+00:00,0.883760028,0.983621908
2018-12-21 00:00:00+00:00,0.860626442,0.978652948
2018-12-24 00:00:00+00:00,0.837886164,0.973768468
2018-12-26 00:00:00+00:00,0.880220249,0.982861588
2018-12-27 00:00:00+00:00,0.886978024,0.984313876
2018-12-28 00:00:00+00:00,0.885833833,0.984068116
2018-12-31 00:00:00+00:00,0.893592694,0.985727818
2019-01-02 00:00:00+00:00,0.894522308,0.986234388
2019-01-03 00:00:00+00:00,0.873176534,0.962692652
2019-01-04 00:00:00+00:00,0.902424221,0.994950628
2019-01-07 00:00:00+00:00,0.909539515,1.002803132
2019-01-08 00:00:00+00:00,0.918084939,1.012225348
2019-01-09 00:00:00+00:00,0.922375601,1.016962092
2019-01-10 00:00:00+00:00,0.925629332,1.020551132
2019-01-11 00:00:00+00:00,0.925986906,1.020945532
2019-01-14 00:00:00+00:00,0.920337531,1.014710068
2019-01-15 00:00:00+00:00,0.930885344,1.026348812
2019-01-16 00:00:00+00:00,0.933137936,1.028833532
2019-01-17 00:00:00+00:00,0.940217385,1.036638708
2019-01-18 00:00:00+00:00,0.952731688,1.050442708
2019-01-22 00:00:00+00:00,0.939859812,1.036238388
2019-01-23 00:00:00+00:00,0.941826411,1.037759148
2019-01-24 00:00:00+00:00,0.942326926,1.038142788
2019-01-25 00:00:00+00:00,0.950300364,1.044297588
2019-01-28 00:00:00+00:00,0.943077863,1.038719208
2019-01-29 00:00:00+00:00,0.941826411,1.038169008
2019-01-30 00:00:00+00:00,0.956736247,1.044722676
2019-01-31 00:00:00+00:00,0.965138729,1.048416876
2019-02-01 00:00:00+00:00,0.965603563,1.048621236
2019-02-04 00:00:00+00:00,0.97239702,1.051602121
2019-02-05 00:00:00+00:00,0.97647316,1.05204597
2019-02-06 00:00:00+00:00,0.975185917,1.051905541
2019-02-07 00:00:00+00:00,0.965889666,1.05089453
2019-02-08 00:00:00+00:00,0.967069538,1.0510229
2019-02-11 00:00:00+00:00,0.967605843,1.051071151
2019-02-12 00:00:00+00:00,0.980048674,1.059185362
2019-02-13 00:00:00+00:00,0.983230826,1.061257621
2019-02-14 00:00:00+00:00,0.981049814,1.059838042
2019-02-15 00:00:00+00:00,0.991740569,1.066805401
2019-02-19 00:00:00+00:00,0.993456856,1.067919037
2019-02-20 00:00:00+00:00,0.995459135,1.070072797
2019-02-21 00:00:00+00:00,0.99191941,1.066265257
2019-02-22 00:00:00+00:00,0.9980693,1.072880377
2019-02-25 00:00:00+00:00,0.999427905,1.074338011
2019-02-26 00:00:00+00:00,0.998712867,1.073572657
2019-02-27 00:00:00+00:00,0.998283823,1.073111137
2019-02-28 00:00:00+00:00,0.996424485,1.071107371
2019-03-01 00:00:00+00:00,1.002645955,1.077803257
2019-03-04 00:00:00+00:00,0.99899886,1.073876491
2019-03-05 00:00:00+00:00,0.997640147,1.072415011
2019-03-06 00:00:00+00:00,0.991597518,1.065915271
2019-03-07 00:00:00+00:00,0.983302406,1.056996397
2019-03-08 00:00:00+00:00,0.981335808,1.054877251
2019-03-11 00:00:00+00:00,0.995566396,1.070182402
2019-03-12 00:00:00+00:00,0.999320643,1.073005261
2019-03-13 00:00:00+00:00,1.005935368,1.077983611
2019-03-14 00:00:00+00:00,1.005291801,1.077501922
2019-03-15 00:00:00+00:00,1.005828107,1.077902881
2019-03-18 00:00:00+00:00,1.009475093,1.080641911
2019-03-19 00:00:00+00:00,1.009725405,1.080749221
2019-03-20 00:00:00+00:00,1.006686196,1.079446171
2019-03-21 00:00:00+00:00,1.018056416,1.084322644
2019-03-22 00:00:00+00:00,0.998462555,1.075921804
2019-03-25 00:00:00+00:00,0.997711727,1.075594139
2019-03-26 00:00:00+00:00,1.00514875,1.076396633
2019-03-27 00:00:00+00:00,0.999892739,1.075829213
2019-03-28 00:00:00+00:00,1.003682776,1.076238373
2019-03-29 00:00:00+00:00,1.010011507,1.076921979
2019-04-01 00:00:00+00:00,1.021989395,1.078205188
2019-04-02 00:00:00+00:00,1.02249002,1.078527655
2019-04-03 00:00:00+00:00,1.024099045,1.079556805
2019-04-04 00:00:00+00:00,1.026816362,1.081292638
2019-04-05 00:00:00+00:00,1.03178638,1.084473855
2019-04-08 00:00:00+00:00,1.032572998,1.08496964
2019-04-09 00:00:00+00:00,1.027281197,1.079404042
2019-04-10 00:00:00+00:00,1.030785241,1.08309064
2019-04-11 00:00:00+00:00,1.030499138,1.082786242
2019-04-12 00:00:00+00:00,1.037471436,1.0901181
2019-04-15 00:00:00+00:00,1.03679208,1.08940408
2019-04-16 00:00:00+00:00,1.037471436,1.0901181
2019-04-17 00:00:00+00:00,1.034932851,1.08744992
2019-04-18 00:00:00+00:00,1.036970812,1.089588222
2019-04-22 00:00:00+00:00,1.03786469,1.090527722
2019-04-23 00:00:00+00:00,1.047196841,1.10033986
2019-04-24 00:00:00+00:00,1.044872778,1.09789716
2019-04-25 00:00:00+00:00,1.044229103,1.097216962
2019-04-26 00:00:00+00:00,1.04909186,1.1023316
2019-04-29 00:00:00+00:00,1.050736566,1.104056522
2019-04-30 00:00:00+00:00,1.051272872,1.104620222
2019-05-01 00:00:00+00:00,1.043371014,1.096315042
2019-05-02 00:00:00+00:00,1.041118422,1.093947502
2019-05-03 00:00:00+00:00,1.051308662,1.104657802
2019-05-06 00:00:00+00:00,1.046982319,1.10011438
2019-05-07 00:00:00+00:00,1.029497998,1.081734002
2019-05-08 00:00:00+00:00,1.028067814,1.080230802
2019-05-09 00:00:00+00:00,1.024957134,1.0769651
2019-05-10 00:00:00+00:00,1.030105884,1.08237662
2019-05-13 00:00:00+00:00,1.004219081,1.055159302
2019-05-14 00:00:00+00:00,1.01330092,1.061839502
2019-05-15 00:00:00+00:00,1.019236288,1.066205302
2019-05-16 00:00:00+00:00,1.0286757,1.073151132
2019-05-17 00:00:00+00:00,1.022025185,1.068256702
2019-05-20 00:00:00+00:00,1.015267519,1.063282957
2019-05-21 00:00:00+00:00,1.024420828,1.067110157
2019-05-22 00:00:00+00:00,1.021274358,1.065794557
2019-05-23 00:00:00+00:00,1.008795845,1.060577007
2019-05-24 00:00:00+00:00,1.011084118,1.061532312
2019-05-28 00:00:00+00:00,1.001680496,1.057594867
2019-05-29 00:00:00+00:00,0.994958511,1.056887987
2019-05-30 00:00:00+00:00,0.997675937,1.057173747
2019-05-31 00:00:00+00:00,0.984231966,1.055759987
2019-06-03 00:00:00+00:00,0.981729171,1.055497163
2019-06-04 00:00:00+00:00,1.00303921,1.057737747
2019-06-05 00:00:00+00:00,1.011727685,1.058651427
2019-06-06 00:00:00+00:00,1.018306619,1.059343267
2019-06-07 00:00:00+00:00,1.028496859,1.060414867
2019-06-10 00:00:00+00:00,1.033216565,1.060904228
2019-06-11 00:00:00+00:00,1.032966252,1.060773375
2019-06-12 00:00:00+00:00,1.031142814,1.059835288
2019-06-13 00:00:00+00:00,1.035397576,1.062026615
2019-06-14 00:00:00+00:00,1.034253494,1.061438698
2019-06-17 00:00:00+00:00,1.034646749,1.06163404
2019-06-18 00:00:00+00:00,1.045480555,1.06385806
2019-06-19 00:00:00+00:00,1.047840408,1.0643425
2019-06-20 00:00:00+00:00,1.057851806,1.0663977
2019-06-21 00:00:00+00:00,1.051201401,1.065033194
2019-06-24 00:00:00+00:00,1.049914268,1.064759949
2019-06-25 00:00:00+00:00,1.039616767,1.057459149
2019-06-26 00:00:00+00:00,1.038579837,1.056723999
2019-06-27 00:00:00+00:00,1.042262613,1.059335049
2019-06-28 00:00:00+00:00,1.047625886,1.063137549
2019-07-01 00:00:00+00:00,1.057136768,1.069875234
2019-07-02 00:00:00+00:00,1.059889876,1.070991822
2019-07-03 00:00:00+00:00,1.068363829,1.074433062
2019-07-05 00:00:00+00:00,1.067148167,1.073939382
2019-07-08 00:00:00+00:00,1.061284379,1.071554094
2019-07-09 00:00:00+00:00,1.062607302,1.071687294
2019-07-10 00:00:00+00:00,1.067684472,1.072198134
2019-07-11 00:00:00+00:00,1.070187376,1.072450134
2019-07-12 00:00:00+00:00,1.074978553,1.072932534
2019-07-15 00:00:00+00:00,1.075336127,1.072968894
2019-07-16 00:00:00+00:00,1.071867873,1.072619334
2019-07-17 00:00:00+00:00,1.064573792,1.071884934
2019-07-18 00:00:00+00:00,1.06847109,1.072277334
2019-07-19 00:00:00+00:00,1.062535831,1.071680094
2019-07-22 00:00:00+00:00,1.065145887,1.071942534
2019-07-23 00:00:00+00:00,1.072761751,1.072709334
2019-07-24 00:00:00+00:00,1.077803241,1.073217294
2019-07-25 00:00:00+00:00,1.07265449,1.072698894
2019-07-26 00:00:00+00:00,1.07984131,1.073422494
2019-07-29 00:00:00+00:00,1.077874712,1.073217049
2019-07-30 00:00:00+00:00,1.075228865,1.071903846
2019-07-31 00:00:00+00:00,1.063465391,1.066055739
