,adjclose,EMA12,EMA26
38,-0.4882873645868716,-0.24649331152339626,-0.14731029329217304
39,-0.5288616216591305,-0.2820284635436521,-0.18144634844978696
40,-0.49644156978670656,-0.2790295336731444,-0.17482317466152753
41,-0.5629734629400892,-0.38455758568729576,-0.27990530808306546
42,-0.6311099670398679,-0.4860845646930206,-0.38119123703282004
43,-0.63253425355516,-0.5130363346894649,-0.4071520465485907
44,-0.5966778195737749,-0.5258715276662023,-0.4332925956037571
45,-0.5516985920539926,-0.5406430351773757,-0.46612404074051467
46,-0.5812163675721849,-0.5806177867757175,-0.5157147246819241
47,-0.5869914357918061,-0.6063785180696166,-0.5477706591967962
48,-0.6028014748578592,-0.6744259419424055,-0.6348504965149026
49,-0.6335749373402488,-0.7428607824447652,-0.7188697253160751
